season,year,month,weather,total_rental
Springer,2011,January,Mist_Cloudy,985
Springer,2011,January,Mist_Cloudy,801
Springer,2011,January,Clear,1349
Springer,2011,January,Clear,1562
Springer,2011,January,Clear,1600
Springer,2011,January,Clear,1606
Springer,2011,January,Mist_Cloudy,1510
Springer,2011,January,Mist_Cloudy,959
Springer,2011,January,Clear,822
Springer,2011,January,Clear,1321
Springer,2011,January,Mist_Cloudy,1263
Springer,2011,January,Clear,1162
Springer,2011,January,Clear,1406
Springer,2011,January,Clear,1421
Springer,2011,January,Mist_Cloudy,1248
Springer,2011,January,Clear,1204
Springer,2011,January,Mist_Cloudy,1000
Springer,2011,January,Mist_Cloudy,683
Springer,2011,January,Mist_Cloudy,1650
Springer,2011,January,Mist_Cloudy,1927
Springer,2011,January,Clear,1543
Springer,2011,January,Clear,981
Springer,2011,January,Clear,986
Springer,2011,January,Clear,1416
Springer,2011,January,Mist_Cloudy,1985
Springer,2011,January,Light_Rain,506
Springer,2011,January,Clear,431
Springer,2011,January,Mist_Cloudy,1167
Springer,2011,January,Clear,1098
Springer,2011,January,Clear,1096
Springer,2011,January,Mist_Cloudy,1501
Springer,2011,February,Mist_Cloudy,1360
Springer,2011,February,Mist_Cloudy,1526
Springer,2011,February,Clear,1550
Springer,2011,February,Mist_Cloudy,1708
Springer,2011,February,Mist_Cloudy,1005
Springer,2011,February,Clear,1623
Springer,2011,February,Clear,1712
Springer,2011,February,Clear,1530
Springer,2011,February,Mist_Cloudy,1605
Springer,2011,February,Clear,1538
Springer,2011,February,Clear,1746
Springer,2011,February,Clear,1472
Springer,2011,February,Clear,1589
Springer,2011,February,Clear,1913
Springer,2011,February,Clear,1815
Springer,2011,February,Clear,2115
Springer,2011,February,Clear,2475
Springer,2011,February,Clear,2927
Springer,2011,February,Clear,1635
Springer,2011,February,Clear,1812
Springer,2011,February,Mist_Cloudy,1107
Springer,2011,February,Clear,1450
Springer,2011,February,Clear,1917
Springer,2011,February,Mist_Cloudy,1807
Springer,2011,February,Mist_Cloudy,1461
Springer,2011,February,Clear,1969
Springer,2011,February,Clear,2402
Springer,2011,February,Mist_Cloudy,1446
Springer,2011,March,Clear,1851
Springer,2011,March,Clear,2134
Springer,2011,March,Clear,1685
Springer,2011,March,Mist_Cloudy,1944
Springer,2011,March,Mist_Cloudy,2077
Springer,2011,March,Mist_Cloudy,605
Springer,2011,March,Clear,1872
Springer,2011,March,Clear,2133
Springer,2011,March,Mist_Cloudy,1891
Springer,2011,March,Light_Rain,623
Springer,2011,March,Mist_Cloudy,1977
Springer,2011,March,Clear,2132
Springer,2011,March,Clear,2417
Springer,2011,March,Clear,2046
Springer,2011,March,Mist_Cloudy,2056
Springer,2011,March,Mist_Cloudy,2192
Springer,2011,March,Clear,2744
Springer,2011,March,Clear,3239
Springer,2011,March,Clear,3117
Springer,2011,March,Clear,2471
Summer,2011,March,Mist_Cloudy,2077
Summer,2011,March,Clear,2703
Summer,2011,March,Mist_Cloudy,2121
Summer,2011,March,Mist_Cloudy,1865
Summer,2011,March,Clear,2210
Summer,2011,March,Clear,2496
Summer,2011,March,Mist_Cloudy,1693
Summer,2011,March,Clear,2028
Summer,2011,March,Clear,2425
Summer,2011,March,Mist_Cloudy,1536
Summer,2011,March,Light_Rain,1685
Summer,2011,April,Mist_Cloudy,2227
Summer,2011,April,Mist_Cloudy,2252
Summer,2011,April,Clear,3249
Summer,2011,April,Clear,3115
Summer,2011,April,Mist_Cloudy,1795
Summer,2011,April,Clear,2808
Summer,2011,April,Clear,3141
Summer,2011,April,Mist_Cloudy,1471
Summer,2011,April,Mist_Cloudy,2455
Summer,2011,April,Mist_Cloudy,2895
Summer,2011,April,Mist_Cloudy,3348
Summer,2011,April,Mist_Cloudy,2034
Summer,2011,April,Mist_Cloudy,2162
Summer,2011,April,Clear,3267
Summer,2011,April,Clear,3126
Summer,2011,April,Light_Rain,795
Summer,2011,April,Clear,3744
Summer,2011,April,Clear,3429
Summer,2011,April,Mist_Cloudy,3204
Summer,2011,April,Clear,3944
Summer,2011,April,Clear,4189
Summer,2011,April,Mist_Cloudy,1683
Summer,2011,April,Mist_Cloudy,4036
Summer,2011,April,Mist_Cloudy,4191
Summer,2011,April,Clear,4073
Summer,2011,April,Clear,4400
Summer,2011,April,Mist_Cloudy,3872
Summer,2011,April,Mist_Cloudy,4058
Summer,2011,April,Clear,4595
Summer,2011,April,Clear,5312
Summer,2011,May,Mist_Cloudy,3351
Summer,2011,May,Mist_Cloudy,4401
Summer,2011,May,Mist_Cloudy,4451
Summer,2011,May,Mist_Cloudy,2633
Summer,2011,May,Clear,4433
Summer,2011,May,Clear,4608
Summer,2011,May,Clear,4714
Summer,2011,May,Clear,4333
Summer,2011,May,Clear,4362
Summer,2011,May,Clear,4803
Summer,2011,May,Clear,4182
Summer,2011,May,Clear,4864
Summer,2011,May,Mist_Cloudy,4105
Summer,2011,May,Mist_Cloudy,3409
Summer,2011,May,Mist_Cloudy,4553
Summer,2011,May,Clear,3958
Summer,2011,May,Mist_Cloudy,4123
Summer,2011,May,Mist_Cloudy,3855
Summer,2011,May,Mist_Cloudy,4575
Summer,2011,May,Clear,4917
Summer,2011,May,Clear,5805
Summer,2011,May,Clear,4660
Summer,2011,May,Mist_Cloudy,4274
Summer,2011,May,Mist_Cloudy,4492
Summer,2011,May,Clear,4978
Summer,2011,May,Clear,4677
Summer,2011,May,Clear,4679
Summer,2011,May,Clear,4758
Summer,2011,May,Clear,4788
Summer,2011,May,Clear,4098
Summer,2011,May,Clear,3982
Summer,2011,June,Mist_Cloudy,3974
Summer,2011,June,Clear,4968
Summer,2011,June,Clear,5312
Summer,2011,June,Clear,5342
Summer,2011,June,Mist_Cloudy,4906
Summer,2011,June,Clear,4548
Summer,2011,June,Clear,4833
Summer,2011,June,Clear,4401
Summer,2011,June,Mist_Cloudy,3915
Summer,2011,June,Clear,4586
Summer,2011,June,Clear,4966
Summer,2011,June,Clear,4460
Summer,2011,June,Clear,5020
Summer,2011,June,Clear,4891
Summer,2011,June,Clear,5180
Summer,2011,June,Mist_Cloudy,3767
Summer,2011,June,Clear,4844
Summer,2011,June,Clear,5119
Summer,2011,June,Mist_Cloudy,4744
Summer,2011,June,Mist_Cloudy,4010
Fall,2011,June,Mist_Cloudy,4835
Fall,2011,June,Clear,4507
Fall,2011,June,Mist_Cloudy,4790
Fall,2011,June,Clear,4991
Fall,2011,June,Clear,5202
Fall,2011,June,Clear,5305
Fall,2011,June,Mist_Cloudy,4708
Fall,2011,June,Clear,4648
Fall,2011,June,Clear,5225
Fall,2011,June,Clear,5515
Fall,2011,July,Clear,5362
Fall,2011,July,Clear,5119
Fall,2011,July,Mist_Cloudy,4649
Fall,2011,July,Mist_Cloudy,6043
Fall,2011,July,Clear,4665
Fall,2011,July,Clear,4629
Fall,2011,July,Clear,4592
Fall,2011,July,Mist_Cloudy,4040
Fall,2011,July,Clear,5336
Fall,2011,July,Clear,4881
Fall,2011,July,Clear,4086
Fall,2011,July,Clear,4258
Fall,2011,July,Clear,4342
Fall,2011,July,Clear,5084
Fall,2011,July,Clear,5538
Fall,2011,July,Clear,5923
Fall,2011,July,Clear,5302
Fall,2011,July,Clear,4458
Fall,2011,July,Clear,4541
Fall,2011,July,Clear,4332
Fall,2011,July,Mist_Cloudy,3784
Fall,2011,July,Clear,3387
Fall,2011,July,Clear,3285
Fall,2011,July,Clear,3606
Fall,2011,July,Clear,3840
Fall,2011,July,Clear,4590
Fall,2011,July,Clear,4656
Fall,2011,July,Clear,4390
Fall,2011,July,Clear,3846
Fall,2011,July,Clear,4475
Fall,2011,July,Clear,4302
Fall,2011,August,Clear,4266
Fall,2011,August,Clear,4845
Fall,2011,August,Mist_Cloudy,3574
Fall,2011,August,Mist_Cloudy,4576
Fall,2011,August,Clear,4866
Fall,2011,August,Mist_Cloudy,4294
Fall,2011,August,Clear,3785
Fall,2011,August,Clear,4326
Fall,2011,August,Clear,4602
Fall,2011,August,Clear,4780
Fall,2011,August,Clear,4792
Fall,2011,August,Clear,4905
Fall,2011,August,Mist_Cloudy,4150
Fall,2011,August,Mist_Cloudy,3820
Fall,2011,August,Clear,4338
Fall,2011,August,Clear,4725
Fall,2011,August,Clear,4694
Fall,2011,August,Clear,3805
Fall,2011,August,Mist_Cloudy,4153
Fall,2011,August,Clear,5191
Fall,2011,August,Clear,3873
Fall,2011,August,Clear,4758
Fall,2011,August,Clear,5895
Fall,2011,August,Clear,5130
Fall,2011,August,Mist_Cloudy,3542
Fall,2011,August,Clear,4661
Fall,2011,August,Mist_Cloudy,1115
Fall,2011,August,Clear,4334
Fall,2011,August,Clear,4634
Fall,2011,August,Clear,5204
Fall,2011,August,Clear,5058
Fall,2011,September,Clear,5115
Fall,2011,September,Mist_Cloudy,4727
Fall,2011,September,Clear,4484
Fall,2011,September,Clear,4940
Fall,2011,September,Mist_Cloudy,3351
Fall,2011,September,Light_Rain,2710
Fall,2011,September,Light_Rain,1996
Fall,2011,September,Light_Rain,1842
Fall,2011,September,Mist_Cloudy,3544
Fall,2011,September,Clear,5345
Fall,2011,September,Clear,5046
Fall,2011,September,Clear,4713
Fall,2011,September,Clear,4763
Fall,2011,September,Clear,4785
Fall,2011,September,Mist_Cloudy,3659
Fall,2011,September,Mist_Cloudy,4760
Fall,2011,September,Mist_Cloudy,4511
Fall,2011,September,Clear,4274
Fall,2011,September,Mist_Cloudy,4539
Fall,2011,September,Mist_Cloudy,3641
Fall,2011,September,Mist_Cloudy,4352
Fall,2011,September,Mist_Cloudy,4795
Winter,2011,September,Mist_Cloudy,2395
Winter,2011,September,Mist_Cloudy,5423
Winter,2011,September,Mist_Cloudy,5010
Winter,2011,September,Mist_Cloudy,4630
Winter,2011,September,Mist_Cloudy,4120
Winter,2011,September,Mist_Cloudy,3907
Winter,2011,September,Clear,4839
Winter,2011,September,Clear,5202
Winter,2011,October,Mist_Cloudy,2429
Winter,2011,October,Mist_Cloudy,2918
Winter,2011,October,Mist_Cloudy,3570
Winter,2011,October,Clear,4456
Winter,2011,October,Clear,4826
Winter,2011,October,Clear,4765
Winter,2011,October,Clear,4985
Winter,2011,October,Clear,5409
Winter,2011,October,Clear,5511
Winter,2011,October,Clear,5117
Winter,2011,October,Mist_Cloudy,4563
Winter,2011,October,Light_Rain,2416
Winter,2011,October,Mist_Cloudy,2913
Winter,2011,October,Mist_Cloudy,3644
Winter,2011,October,Clear,5217
Winter,2011,October,Clear,5041
Winter,2011,October,Clear,4570
Winter,2011,October,Mist_Cloudy,4748
Winter,2011,October,Light_Rain,2424
Winter,2011,October,Clear,4195
Winter,2011,October,Clear,4304
Winter,2011,October,Clear,4308
Winter,2011,October,Clear,4381
Winter,2011,October,Clear,4187
Winter,2011,October,Clear,4687
Winter,2011,October,Mist_Cloudy,3894
Winter,2011,October,Mist_Cloudy,2659
Winter,2011,October,Mist_Cloudy,3747
Winter,2011,October,Light_Rain,627
Winter,2011,October,Clear,3331
Winter,2011,October,Clear,3669
Winter,2011,November,Clear,4068
Winter,2011,November,Clear,4186
Winter,2011,November,Clear,3974
Winter,2011,November,Mist_Cloudy,4046
Winter,2011,November,Clear,3926
Winter,2011,November,Clear,3649
Winter,2011,November,Clear,4035
Winter,2011,November,Clear,4205
Winter,2011,November,Clear,4109
Winter,2011,November,Mist_Cloudy,2933
Winter,2011,November,Clear,3368
Winter,2011,November,Clear,4067
Winter,2011,November,Clear,3717
Winter,2011,November,Clear,4486
Winter,2011,November,Mist_Cloudy,4195
Winter,2011,November,Light_Rain,1817
Winter,2011,November,Mist_Cloudy,3053
Winter,2011,November,Clear,3392
Winter,2011,November,Clear,3663
Winter,2011,November,Mist_Cloudy,3520
Winter,2011,November,Light_Rain,2765
Winter,2011,November,Light_Rain,1607
Winter,2011,November,Mist_Cloudy,2566
Winter,2011,November,Clear,1495
Winter,2011,November,Clear,2792
Winter,2011,November,Clear,3068
Winter,2011,November,Clear,3071
Winter,2011,November,Clear,3867
Winter,2011,November,Mist_Cloudy,2914
Winter,2011,November,Clear,3613
Winter,2011,December,Clear,3727
Winter,2011,December,Clear,3940
Winter,2011,December,Clear,3614
Winter,2011,December,Clear,3485
Winter,2011,December,Mist_Cloudy,3811
Winter,2011,December,Light_Rain,2594
Winter,2011,December,Light_Rain,705
Winter,2011,December,Clear,3322
Winter,2011,December,Clear,3620
Winter,2011,December,Clear,3190
Winter,2011,December,Clear,2743
Winter,2011,December,Clear,3310
Winter,2011,December,Clear,3523
Winter,2011,December,Mist_Cloudy,3740
Winter,2011,December,Mist_Cloudy,3709
Winter,2011,December,Mist_Cloudy,3577
Winter,2011,December,Mist_Cloudy,2739
Winter,2011,December,Clear,2431
Winter,2011,December,Clear,3403
Winter,2011,December,Mist_Cloudy,3750
Springer,2011,December,Mist_Cloudy,2660
Springer,2011,December,Mist_Cloudy,3068
Springer,2011,December,Clear,2209
Springer,2011,December,Clear,1011
Springer,2011,December,Clear,754
Springer,2011,December,Clear,1317
Springer,2011,December,Mist_Cloudy,1162
Springer,2011,December,Clear,2302
Springer,2011,December,Clear,2423
Springer,2011,December,Clear,2999
Springer,2011,December,Clear,2485
Springer,2012,January,Clear,2294
Springer,2012,January,Clear,1951
Springer,2012,January,Clear,2236
Springer,2012,January,Mist_Cloudy,2368
Springer,2012,January,Clear,3272
Springer,2012,January,Clear,4098
Springer,2012,January,Clear,4521
Springer,2012,January,Clear,3425
Springer,2012,January,Mist_Cloudy,2376
Springer,2012,January,Clear,3598
Springer,2012,January,Mist_Cloudy,2177
Springer,2012,January,Mist_Cloudy,4097
Springer,2012,January,Clear,3214
Springer,2012,January,Clear,2493
Springer,2012,January,Clear,2311
Springer,2012,January,Clear,2298
Springer,2012,January,Mist_Cloudy,2935
Springer,2012,January,Clear,3376
Springer,2012,January,Clear,3292
Springer,2012,January,Mist_Cloudy,3163
Springer,2012,January,Mist_Cloudy,1301
Springer,2012,January,Mist_Cloudy,1977
Springer,2012,January,Mist_Cloudy,2432
Springer,2012,January,Clear,4339
Springer,2012,January,Clear,4270
Springer,2012,January,Mist_Cloudy,4075
Springer,2012,January,Mist_Cloudy,3456
Springer,2012,January,Clear,4023
Springer,2012,January,Clear,3243
Springer,2012,January,Clear,3624
Springer,2012,January,Clear,4509
Springer,2012,February,Clear,4579
Springer,2012,February,Mist_Cloudy,3761
Springer,2012,February,Clear,4151
Springer,2012,February,Mist_Cloudy,2832
Springer,2012,February,Mist_Cloudy,2947
Springer,2012,February,Clear,3784
Springer,2012,February,Clear,4375
Springer,2012,February,Mist_Cloudy,2802
Springer,2012,February,Clear,3830
Springer,2012,February,Mist_Cloudy,3831
Springer,2012,February,Light_Rain,2169
Springer,2012,February,Clear,1529
Springer,2012,February,Clear,3422
Springer,2012,February,Mist_Cloudy,3922
Springer,2012,February,Clear,4169
Springer,2012,February,Mist_Cloudy,3005
Springer,2012,February,Clear,4154
Springer,2012,February,Clear,4318
Springer,2012,February,Mist_Cloudy,2689
Springer,2012,February,Clear,3129
Springer,2012,February,Clear,3777
Springer,2012,February,Clear,4773
Springer,2012,February,Clear,5062
Springer,2012,February,Mist_Cloudy,3487
Springer,2012,February,Clear,2732
Springer,2012,February,Clear,3389
Springer,2012,February,Clear,4322
Springer,2012,February,Clear,4363
Springer,2012,February,Mist_Cloudy,1834
Springer,2012,March,Clear,4990
Springer,2012,March,Mist_Cloudy,3194
Springer,2012,March,Mist_Cloudy,4066
Springer,2012,March,Clear,3423
Springer,2012,March,Clear,3333
Springer,2012,March,Clear,3956
Springer,2012,March,Clear,4916
Springer,2012,March,Clear,5382
Springer,2012,March,Mist_Cloudy,4569
Springer,2012,March,Clear,4118
Springer,2012,March,Clear,4911
Springer,2012,March,Clear,5298
Springer,2012,March,Clear,5847
Springer,2012,March,Clear,6312
Springer,2012,March,Clear,6192
Springer,2012,March,Mist_Cloudy,4378
Springer,2012,March,Mist_Cloudy,7836
Springer,2012,March,Mist_Cloudy,5892
Springer,2012,March,Clear,6153
Springer,2012,March,Clear,6093
Summer,2012,March,Mist_Cloudy,6230
Summer,2012,March,Clear,6871
Summer,2012,March,Mist_Cloudy,8362
Summer,2012,March,Mist_Cloudy,3372
Summer,2012,March,Mist_Cloudy,4996
Summer,2012,March,Clear,5558
Summer,2012,March,Clear,5102
Summer,2012,March,Clear,5698
Summer,2012,March,Clear,6133
Summer,2012,March,Mist_Cloudy,5459
Summer,2012,March,Mist_Cloudy,6235
Summer,2012,April,Mist_Cloudy,6041
Summer,2012,April,Clear,5936
Summer,2012,April,Clear,6772
Summer,2012,April,Clear,6436
Summer,2012,April,Clear,6457
Summer,2012,April,Clear,6460
Summer,2012,April,Clear,6857
Summer,2012,April,Clear,5169
Summer,2012,April,Clear,5585
Summer,2012,April,Clear,5918
Summer,2012,April,Clear,4862
Summer,2012,April,Clear,5409
Summer,2012,April,Clear,6398
Summer,2012,April,Clear,7460
Summer,2012,April,Clear,7132
Summer,2012,April,Clear,6370
Summer,2012,April,Clear,6691
Summer,2012,April,Mist_Cloudy,4367
Summer,2012,April,Clear,6565
Summer,2012,April,Clear,7290
Summer,2012,April,Clear,6624
Summer,2012,April,Light_Rain,1027
Summer,2012,April,Mist_Cloudy,3214
Summer,2012,April,Clear,5633
Summer,2012,April,Clear,6196
Summer,2012,April,Mist_Cloudy,5026
Summer,2012,April,Clear,6233
Summer,2012,April,Mist_Cloudy,4220
Summer,2012,April,Clear,6304
Summer,2012,April,Mist_Cloudy,5572
Summer,2012,May,Mist_Cloudy,5740
Summer,2012,May,Clear,6169
Summer,2012,May,Mist_Cloudy,6421
Summer,2012,May,Clear,6296
Summer,2012,May,Mist_Cloudy,6883
Summer,2012,May,Mist_Cloudy,6359
Summer,2012,May,Mist_Cloudy,6273
Summer,2012,May,Mist_Cloudy,5728
Summer,2012,May,Mist_Cloudy,4717
Summer,2012,May,Clear,6572
Summer,2012,May,Clear,7030
Summer,2012,May,Clear,7429
Summer,2012,May,Clear,6118
Summer,2012,May,Mist_Cloudy,2843
Summer,2012,May,Mist_Cloudy,5115
Summer,2012,May,Clear,7424
Summer,2012,May,Clear,7384
Summer,2012,May,Clear,7639
Summer,2012,May,Clear,8294
Summer,2012,May,Clear,7129
Summer,2012,May,Mist_Cloudy,4359
Summer,2012,May,Mist_Cloudy,6073
Summer,2012,May,Mist_Cloudy,5260
Summer,2012,May,Clear,6770
Summer,2012,May,Clear,6734
Summer,2012,May,Clear,6536
Summer,2012,May,Clear,6591
Summer,2012,May,Clear,6043
Summer,2012,May,Clear,5743
Summer,2012,May,Mist_Cloudy,6855
Summer,2012,May,Clear,7338
Summer,2012,June,Mist_Cloudy,4127
Summer,2012,June,Clear,8120
Summer,2012,June,Clear,7641
Summer,2012,June,Clear,6998
Summer,2012,June,Mist_Cloudy,7001
Summer,2012,June,Clear,7055
Summer,2012,June,Clear,7494
Summer,2012,June,Clear,7736
Summer,2012,June,Clear,7498
Summer,2012,June,Clear,6598
Summer,2012,June,Mist_Cloudy,6664
Summer,2012,June,Mist_Cloudy,4972
Summer,2012,June,Clear,7421
Summer,2012,June,Clear,7363
Summer,2012,June,Clear,7665
Summer,2012,June,Clear,7702
Summer,2012,June,Clear,6978
Summer,2012,June,Mist_Cloudy,5099
Summer,2012,June,Clear,6825
Summer,2012,June,Clear,6211
Fall,2012,June,Clear,5905
Fall,2012,June,Clear,5823
Fall,2012,June,Clear,7458
Fall,2012,June,Clear,6891
Fall,2012,June,Clear,6779
Fall,2012,June,Clear,7442
Fall,2012,June,Clear,7335
Fall,2012,June,Clear,6879
Fall,2012,June,Clear,5463
Fall,2012,June,Clear,5687
Fall,2012,July,Clear,5531
Fall,2012,July,Clear,6227
Fall,2012,July,Clear,6660
Fall,2012,July,Clear,7403
Fall,2012,July,Clear,6241
Fall,2012,July,Clear,6207
Fall,2012,July,Clear,4840
Fall,2012,July,Clear,4672
Fall,2012,July,Mist_Cloudy,6569
Fall,2012,July,Mist_Cloudy,6290
Fall,2012,July,Clear,7264
Fall,2012,July,Clear,7446
Fall,2012,July,Mist_Cloudy,7499
Fall,2012,July,Mist_Cloudy,6969
Fall,2012,July,Clear,6031
Fall,2012,July,Clear,6830
Fall,2012,July,Clear,6786
Fall,2012,July,Clear,5713
Fall,2012,July,Clear,6591
Fall,2012,July,Mist_Cloudy,5870
Fall,2012,July,Light_Rain,4459
Fall,2012,July,Mist_Cloudy,7410
Fall,2012,July,Clear,6966
Fall,2012,July,Clear,7592
Fall,2012,July,Clear,8173
Fall,2012,July,Clear,6861
Fall,2012,July,Clear,6904
Fall,2012,July,Clear,6685
Fall,2012,July,Clear,6597
Fall,2012,July,Clear,7105
Fall,2012,July,Clear,7216
Fall,2012,August,Clear,7580
Fall,2012,August,Clear,7261
Fall,2012,August,Mist_Cloudy,7175
Fall,2012,August,Clear,6824
Fall,2012,August,Clear,5464
Fall,2012,August,Mist_Cloudy,7013
Fall,2012,August,Mist_Cloudy,7273
Fall,2012,August,Mist_Cloudy,7534
Fall,2012,August,Clear,7286
Fall,2012,August,Mist_Cloudy,5786
Fall,2012,August,Mist_Cloudy,6299
Fall,2012,August,Clear,6544
Fall,2012,August,Clear,6883
Fall,2012,August,Clear,6784
Fall,2012,August,Clear,7347
Fall,2012,August,Clear,7605
Fall,2012,August,Clear,7148
Fall,2012,August,Clear,7865
Fall,2012,August,Mist_Cloudy,4549
Fall,2012,August,Mist_Cloudy,6530
Fall,2012,August,Clear,7006
Fall,2012,August,Clear,7375
Fall,2012,August,Clear,7765
Fall,2012,August,Mist_Cloudy,7582
Fall,2012,August,Mist_Cloudy,6053
Fall,2012,August,Mist_Cloudy,5255
Fall,2012,August,Clear,6917
Fall,2012,August,Clear,7040
Fall,2012,August,Clear,7697
Fall,2012,August,Clear,7713
Fall,2012,August,Clear,7350
Fall,2012,September,Mist_Cloudy,6140
Fall,2012,September,Mist_Cloudy,5810
Fall,2012,September,Clear,6034
Fall,2012,September,Clear,6864
Fall,2012,September,Clear,7112
Fall,2012,September,Mist_Cloudy,6203
Fall,2012,September,Clear,7504
Fall,2012,September,Mist_Cloudy,5976
Fall,2012,September,Clear,8227
Fall,2012,September,Clear,7525
Fall,2012,September,Clear,7767
Fall,2012,September,Clear,7870
Fall,2012,September,Clear,7804
Fall,2012,September,Clear,8009
Fall,2012,September,Clear,8714
Fall,2012,September,Clear,7333
Fall,2012,September,Mist_Cloudy,6869
Fall,2012,September,Mist_Cloudy,4073
Fall,2012,September,Clear,7591
Fall,2012,September,Clear,7720
Fall,2012,September,Clear,8167
Fall,2012,September,Clear,8395
Winter,2012,September,Clear,7907
Winter,2012,September,Clear,7436
Winter,2012,September,Clear,7538
Winter,2012,September,Clear,7733
Winter,2012,September,Mist_Cloudy,7393
Winter,2012,September,Mist_Cloudy,7415
Winter,2012,September,Clear,8555
Winter,2012,September,Clear,6889
Winter,2012,October,Mist_Cloudy,6778
Winter,2012,October,Light_Rain,4639
Winter,2012,October,Mist_Cloudy,7572
Winter,2012,October,Mist_Cloudy,7328
Winter,2012,October,Clear,8156
Winter,2012,October,Clear,7965
Winter,2012,October,Mist_Cloudy,3510
Winter,2012,October,Mist_Cloudy,5478
Winter,2012,October,Mist_Cloudy,6392
Winter,2012,October,Clear,7691
Winter,2012,October,Clear,7570
Winter,2012,October,Clear,7282
Winter,2012,October,Clear,7109
Winter,2012,October,Clear,6639
Winter,2012,October,Mist_Cloudy,5875
Winter,2012,October,Clear,7534
Winter,2012,October,Clear,7461
Winter,2012,October,Mist_Cloudy,7509
Winter,2012,October,Mist_Cloudy,5424
Winter,2012,October,Clear,8090
Winter,2012,October,Clear,6824
Winter,2012,October,Clear,7058
Winter,2012,October,Clear,7466
Winter,2012,October,Clear,7693
Winter,2012,October,Mist_Cloudy,7359
Winter,2012,October,Mist_Cloudy,7444
Winter,2012,October,Mist_Cloudy,7852
Winter,2012,October,Mist_Cloudy,4459
Winter,2012,October,Light_Rain,22
Winter,2012,October,Mist_Cloudy,1096
Winter,2012,October,Mist_Cloudy,5566
Winter,2012,November,Mist_Cloudy,5986
Winter,2012,November,Clear,5847
Winter,2012,November,Mist_Cloudy,5138
Winter,2012,November,Clear,5107
Winter,2012,November,Clear,5259
Winter,2012,November,Clear,5686
Winter,2012,November,Mist_Cloudy,5035
Winter,2012,November,Clear,5315
Winter,2012,November,Clear,5992
Winter,2012,November,Clear,6536
Winter,2012,November,Clear,6852
Winter,2012,November,Clear,6269
Winter,2012,November,Mist_Cloudy,4094
Winter,2012,November,Clear,5495
Winter,2012,November,Mist_Cloudy,5445
Winter,2012,November,Clear,5698
Winter,2012,November,Clear,5629
Winter,2012,November,Clear,4669
Winter,2012,November,Mist_Cloudy,5499
Winter,2012,November,Mist_Cloudy,5634
Winter,2012,November,Clear,5146
Winter,2012,November,Clear,2425
Winter,2012,November,Clear,3910
Winter,2012,November,Clear,2277
Winter,2012,November,Clear,2424
Winter,2012,November,Clear,5087
Winter,2012,November,Mist_Cloudy,3959
Winter,2012,November,Clear,5260
Winter,2012,November,Clear,5323
Winter,2012,November,Clear,5668
Winter,2012,December,Mist_Cloudy,5191
Winter,2012,December,Mist_Cloudy,4649
Winter,2012,December,Clear,6234
Winter,2012,December,Clear,6606
Winter,2012,December,Clear,5729
Winter,2012,December,Clear,5375
Winter,2012,December,Mist_Cloudy,5008
Winter,2012,December,Mist_Cloudy,5582
Winter,2012,December,Mist_Cloudy,3228
Winter,2012,December,Mist_Cloudy,5170
Winter,2012,December,Mist_Cloudy,5501
Winter,2012,December,Mist_Cloudy,5319
Winter,2012,December,Clear,5532
Winter,2012,December,Clear,5611
Winter,2012,December,Clear,5047
Winter,2012,December,Mist_Cloudy,3786
Winter,2012,December,Mist_Cloudy,4585
Winter,2012,December,Clear,5557
Winter,2012,December,Clear,5267
Winter,2012,December,Mist_Cloudy,4128
Springer,2012,December,Mist_Cloudy,3623
Springer,2012,December,Clear,1749
Springer,2012,December,Clear,1787
Springer,2012,December,Mist_Cloudy,920
Springer,2012,December,Mist_Cloudy,1013
Springer,2012,December,Light_Rain,441
Springer,2012,December,Mist_Cloudy,2114
Springer,2012,December,Mist_Cloudy,3095
Springer,2012,December,Mist_Cloudy,1341
Springer,2012,December,Clear,1796
Springer,2012,December,Mist_Cloudy,2729
